cohort	source_group	model_role	gene_symbol	n_samples	n_cases	n_controls	residual_df	covariates_used	covariates_dropped	model_formula	mean_case	mean_control	log2fc_case_vs_control	beta_sarcopenia	se_sarcopenia	t_stat	p_value	fdr	direction
GSE111006_HSS	GSE111017_family	external_test_candidate	MARCHF5	32	4	28	29	sarcopenia,age_z	sex_constant,source_platform_not_estimable_within_cohort,batch_not_available	expression ~ sarcopenia + estimable covariates	3.9529431044999996	4.009468985535714	-0.056525881035714765	-0.05087950016692671	0.0760075737304915	-0.6694003987988856	0.5085349478722933	0.8936126141638371	case_down
GSE111010_JSS	GSE111017_family	external_test_candidate	MARCHF5	23	9	14	20	sarcopenia,age_z	sex_constant,source_platform_not_estimable_within_cohort,batch_not_available	expression ~ sarcopenia + estimable covariates	4.190515397444445	4.304190323214287	-0.11367492576984173	-0.116351689349449	0.07612975243989474	-1.5283340037301436	0.14209168276423748	0.9994358307652396	case_down
GSE111016_SSS	GSE111017_family	external_test_candidate	MARCHF5	40	20	20	37	sarcopenia,age_z	sex_constant,source_platform_not_estimable_within_cohort,batch_not_available	expression ~ sarcopenia + estimable covariates	4.057856817143502	4.1677202514780785	-0.10986343433457613	-0.09194828768892524	0.043538460926808166	-2.1118864960224037	0.04150945912213649	0.8946113557351735	case_down
GSE226151	GSE226151_independent	frozen_training_candidate	MARCHF5	40	20	20	36	sarcopenia,age_z,sex_male	source_platform_not_estimable_within_cohort,batch_not_available	expression ~ sarcopenia + estimable covariates	4.681326223827599	4.503859532430728	0.1774666913968712	0.20565340729055787	0.12867829255565735	1.5981981358791064	0.11874034202493886	0.5891993976260734	case_up
