cohort	mito_top200_down	expected	fold
GSE111006_HSS	0	3.7495117823200106	0.0
GSE111010_JSS	2	3.741450985651066	0.5345519713261648
GSE111016_SSS	31	2.843039408734119	10.903823529411765
GSE226151	67	2.535023348899266	26.429736842105264
