gene_symbol	n_cohorts_detected	cohorts_detected	meta_direction	meta_beta	meta_se	meta_z	meta_p_value	meta_fdr	n_nominal_p_lt_0_05	n_fdr_lt_0_10	n_case_up_cohorts	n_case_down_cohorts	direction_consistency	leave_one_cohort_out_tested	leave_one_cohort_out_replicated	leave_one_cohort_out_replication_rate	leave_one_cohort_out_details	heterogeneity_q	heterogeneity_i2	tau_sq	heterogeneity_flag	effects_by_cohort	p_values_by_cohort	fdr_by_cohort
IMMT	4	GSE111006_HSS,GSE111010_JSS,GSE111016_SSS,GSE226151	case_down	-0.1688656502280766	0.04692430936254408	-3.598681632656452	0.0003198344377063432	0.303148437505163	2	0	0	4	1.0	4	4	1.0	GSE111006_HSS:match(heldout=-0.1463,discovery_mean=-0.15697);GSE111010_JSS:match(heldout=-0.043031,discovery_mean=-0.19139);GSE111016_SSS:match(heldout=-0.1808,discovery_mean=-0.14547);GSE226151:match(heldout=-0.24707,discovery_mean=-0.12338)	2.4140897111464446	0.0	0.0	False	GSE111006_HSS:-0.146303;GSE111010_JSS:-0.0430313;GSE111016_SSS:-0.180801;GSE226151:-0.247073	GSE111006_HSS:0.264136;GSE111010_JSS:0.681827;GSE111016_SSS:0.0298896;GSE226151:0.00533871	GSE111006_HSS:0.788867;GSE111010_JSS:0.999436;GSE111016_SSS:0.894611;GSE226151:0.387378
TMEM231	4	GSE111006_HSS,GSE111010_JSS,GSE111016_SSS,GSE226151	case_up	0.14342163350975018	0.04002459082036934	3.583337907273744	0.0003392313064328512	0.303148437505163	1	0	4	0	1.0	4	4	1.0	GSE111006_HSS:match(heldout=0.18532,discovery_mean=0.16414);GSE111010_JSS:match(heldout=0.24748,discovery_mean=0.14342);GSE111016_SSS:match(heldout=0.13968,discovery_mean=0.17936);GSE226151:match(heldout=0.10527,discovery_mean=0.19083)	0.4543440740428044	0.0	0.0	False	GSE111006_HSS:0.185321;GSE111010_JSS:0.247478;GSE111016_SSS:0.139677;GSE226151:0.105267	GSE111006_HSS:0.258756;GSE111010_JSS:0.219423;GSE111016_SSS:0.0036513;GSE226151:0.399718	GSE111006_HSS:0.785691;GSE111010_JSS:0.999436;GSE111016_SSS:0.894611;GSE226151:0.731607
VDAC1	4	GSE111006_HSS,GSE111010_JSS,GSE111016_SSS,GSE226151	case_down	-0.15320141851217878	0.04287543639218979	-3.5731745587570516	0.0003526794874987207	0.303148437505163	2	0	0	4	1.0	4	4	1.0	GSE111006_HSS:match(heldout=-0.23731,discovery_mean=-0.12538);GSE111010_JSS:match(heldout=-0.062303,discovery_mean=-0.18371);GSE111016_SSS:match(heldout=-0.13305,discovery_mean=-0.16013);GSE226151:match(heldout=-0.18078,discovery_mean=-0.14422)	1.1004470350412159	0.0	0.0	False	GSE111006_HSS:-0.237312;GSE111010_JSS:-0.0623027;GSE111016_SSS:-0.133048;GSE226151:-0.18078	GSE111006_HSS:0.037944;GSE111010_JSS:0.711872;GSE111016_SSS:0.0218006;GSE226151:0.0792609	GSE111006_HSS:0.537306;GSE111010_JSS:0.999436;GSE111016_SSS:0.894611;GSE226151:0.570718
MRPL20	4	GSE111006_HSS,GSE111010_JSS,GSE111016_SSS,GSE226151	case_down	-0.09747049382139482	0.0273262534978596	-3.5669175735718563	0.00036120503375066483	0.303148437505163	1	0	0	4	1.0	4	4	1.0	GSE111006_HSS:match(heldout=-0.053555,discovery_mean=-0.13319);GSE111010_JSS:match(heldout=-0.066627,discovery_mean=-0.12884);GSE111016_SSS:match(heldout=-0.10495,discovery_mean=-0.11606);GSE226151:match(heldout=-0.228,discovery_mean=-0.075045)	1.3969036712893699	0.0	0.0	False	GSE111006_HSS:-0.053555;GSE111010_JSS:-0.0666268;GSE111016_SSS:-0.104953;GSE226151:-0.228001	GSE111006_HSS:0.428872;GSE111010_JSS:0.488988;GSE111016_SSS:0.00249866;GSE226151:0.126041	GSE111006_HSS:0.86239;GSE111010_JSS:0.999436;GSE111016_SSS:0.894611;GSE226151:0.591664
MRPL34	4	GSE111006_HSS,GSE111010_JSS,GSE111016_SSS,GSE226151	case_down	-0.28166562247679444	0.07897469703298955	-3.5665299527408916	0.00036173948067208116	0.303148437505163	2	0	0	4	1.0	4	4	1.0	GSE111006_HSS:match(heldout=-0.18795,discovery_mean=-0.26466);GSE111010_JSS:match(heldout=-0.031722,discovery_mean=-0.31673);GSE111016_SSS:match(heldout=-0.29946,discovery_mean=-0.22749);GSE226151:match(heldout=-0.46279,discovery_mean=-0.17304)	4.581569344099485	34.52025333058328	0.008678179560036437	False	GSE111006_HSS:-0.187947;GSE111010_JSS:-0.031722;GSE111016_SSS:-0.299461;GSE226151:-0.462791	GSE111006_HSS:0.296119;GSE111010_JSS:0.855941;GSE111016_SSS:0.00054698;GSE226151:0.000563887	GSE111006_HSS:0.805341;GSE111010_JSS:0.999436;GSE111016_SSS:0.894611;GSE226151:0.204951
PKD1P6	3	GSE111006_HSS,GSE111010_JSS,GSE111016_SSS	case_up	0.1973738017775478	0.055785860820181825	3.538061416919881	0.0004030762908260358	0.3260106479259138	1	0	3	0	1.0	3	3	1.0	GSE111006_HSS:match(heldout=0.22496,discovery_mean=0.17051);GSE111010_JSS:match(heldout=0.16287,discovery_mean=0.20155);GSE111016_SSS:match(heldout=0.17814,discovery_mean=0.19392)	0.21528580302374495	0.0	0.0	False	GSE111006_HSS:0.224965;GSE111010_JSS:0.162875;GSE111016_SSS:0.178141	GSE111006_HSS:0.0106267;GSE111010_JSS:0.276232;GSE111016_SSS:0.052293	GSE111006_HSS:0.428473;GSE111010_JSS:0.999436;GSE111016_SSS:0.894611
GTF2A2	4	GSE111006_HSS,GSE111010_JSS,GSE111016_SSS,GSE226151	case_down	-0.10203232910461381	0.029107542862703766	-3.505356999245389	0.00045599538898978656	0.33944052633682265	2	0	0	4	1.0	4	4	1.0	GSE111006_HSS:match(heldout=-0.14589,discovery_mean=-0.10315);GSE111010_JSS:match(heldout=-0.040034,discovery_mean=-0.13844);GSE111016_SSS:match(heldout=-0.099632,discovery_mean=-0.11857);GSE226151:match(heldout=-0.16979,discovery_mean=-0.095186)	2.5499197710195847	0.0	0.0	False	GSE111006_HSS:-0.145893;GSE111010_JSS:-0.0400336;GSE111016_SSS:-0.0996323;GSE226151:-0.169792	GSE111006_HSS:0.0712218;GSE111010_JSS:0.47652;GSE111016_SSS:0.0361418;GSE226151:0.0186081	GSE111006_HSS:0.601021;GSE111010_JSS:0.999436;GSE111016_SSS:0.894611;GSE226151:0.495387
CCPG1	4	GSE111006_HSS,GSE111010_JSS,GSE111016_SSS,GSE226151	case_up	0.140697879270479	0.04013865319954736	3.5052964674974603	0.00045609908609094846	0.33944052633682265	2	0	4	0	1.0	4	4	1.0	GSE111006_HSS:match(heldout=0.23595,discovery_mean=0.087161);GSE111010_JSS:match(heldout=0.032801,discovery_mean=0.15488);GSE111016_SSS:match(heldout=0.12147,discovery_mean=0.12532);GSE226151:match(heldout=0.10721,discovery_mean=0.13007)	1.6645768311844225	0.0	0.0	False	GSE111006_HSS:0.235953;GSE111010_JSS:0.0328007;GSE111016_SSS:0.121468;GSE226151:0.107213	GSE111006_HSS:0.0121241;GSE111010_JSS:0.870029;GSE111016_SSS:0.0162708;GSE226151:0.518961	GSE111006_HSS:0.444436;GSE111010_JSS:0.999436;GSE111016_SSS:0.894611;GSE226151:0.794117
TPRKB	4	GSE111006_HSS,GSE111010_JSS,GSE111016_SSS,GSE226151	case_down	-0.13807432897436545	0.03950637934294068	-3.494988183447332	0.00047408274377569557	0.33944052633682265	1	0	0	4	1.0	4	4	1.0	GSE111006_HSS:match(heldout=-0.039569,discovery_mean=-0.16803);GSE111010_JSS:match(heldout=-0.15435,discovery_mean=-0.12977);GSE111016_SSS:match(heldout=-0.1066,discovery_mean=-0.14568);GSE226151:match(heldout=-0.24313,discovery_mean=-0.10017)	2.8661982351284996	0.0	0.0	False	GSE111006_HSS:-0.0395688;GSE111010_JSS:-0.154351;GSE111016_SSS:-0.106598;GSE226151:-0.24313	GSE111006_HSS:0.723144;GSE111010_JSS:0.166062;GSE111016_SSS:0.0664467;GSE226151:0.00426213	GSE111006_HSS:0.952635;GSE111010_JSS:0.999436;GSE111016_SSS:0.894611;GSE226151:0.365541
APOO	4	GSE111006_HSS,GSE111010_JSS,GSE111016_SSS,GSE226151	case_down	-0.23633241190024745	0.06775168503325399	-3.4882145260926043	0.00048625776584587844	0.33944052633682265	2	0	0	4	1.0	4	4	1.0	GSE111006_HSS:match(heldout=-0.21433,discovery_mean=-0.24027);GSE111010_JSS:match(heldout=-0.064445,discovery_mean=-0.29024);GSE111016_SSS:match(heldout=-0.24114,discovery_mean=-0.23134);GSE226151:match(heldout=-0.41523,discovery_mean=-0.17331)	4.693857417107084	36.08668237202317	0.006631831921210704	False	GSE111006_HSS:-0.214333;GSE111010_JSS:-0.0644452;GSE111016_SSS:-0.241145;GSE226151:-0.415231	GSE111006_HSS:0.12435;GSE111010_JSS:0.583634;GSE111016_SSS:0.0045146;GSE226151:0.000854718	GSE111006_HSS:0.677115;GSE111010_JSS:0.999436;GSE111016_SSS:0.894611;GSE226151:0.229473
