gene_set	observed_diff	fl_perm_p	fl_z_vs_null
Mito_ALL	-1.13743533751059	0.0009995002498750624	-3.206731562320044
Mito_ComplexI_NDUF	-1.2948661886036916	0.0009995002498750624	-3.289290942309331
Mito_ComplexV_ATP5	-1.270653400703821	0.0029985007496251873	-2.862138409255872
Mito_mitoribosome	-0.934564858808972	0.005497251374312844	-2.642491928633786
Mito_cristae_MICOS	-1.2352061268205936	0.0009995002498750624	-3.6280759065458903
Mito_import	-1.0046784205067552	0.0009995002498750624	-3.0402684015305224
Mito_ComplexII_III_IV	-1.0698957962841678	0.001999000499750125	-3.2170688460930537
Control_cyto_ribosome	-0.10639779868993725	0.2723638180909545	-0.5967609610597033
Control_proteasome	-0.33933751680047824	0.12443778110944528	-1.1485467781298282
